8.093686817231522390e-01,5.493722050663598644e-01,1.487617168537402890e-01,2.868591733469714189e-01
6.667041264521305077e-01,3.774573528422373592e-01,2.405908306331282498e-01,5.283278970238678429e-01
4.362605283379769050e-01,6.853126721549928080e-01,5.443105778189520905e-01,7.843904232268972265e-02
8.630851499881652122e-01,2.308926169333802569e-02,8.282306122533529269e-01,5.652105379881449121e-01
4.426244203803313404e-01,9.473220575469218918e-01,9.583015620576234017e-01,5.386253660275440724e-01
9.551158845994740521e-01,6.922272800734796672e-02,4.167356675772042607e-01,5.070123873074467991e-01
2.612764894320740439e-01,7.696763508685180444e-01,5.744045538793944861e-01,9.059723988712911069e-01
9.797209781021267716e-01,3.653840940319532660e-01,8.429408259980453177e-01,1.324831322239927722e-01
9.831614278025018194e-01,1.736026960501492189e-01,8.066742781602129764e-01,3.517138326707467400e-01
1.409536376308314631e-01,4.767472694953733825e-01,5.175594669799781222e-01,9.792156704535681655e-01
2.248966068419014919e-01,4.122736284534955775e-01,3.938581557484414075e-01,5.691659090102403340e-01
9.185984489641660922e-01,9.624230327900957782e-01,6.744838654456695171e-01,3.259081231651485000e-01
8.942508750480723245e-01,7.704998397714036829e-01,2.636774853404992847e-01,8.738932469674297598e-01
5.183047697550903221e-01,4.911302901198316695e-01,6.296891554345083186e-01,8.753514860517064289e-01
2.868187435235456384e-01,1.270275703808232404e-02,8.311014538630392412e-01,6.087880899532449597e-01
6.655539455121763925e-01,4.727927141998103933e-01,7.973353148092910958e-01,8.664254519187114534e-01
1.139140566554119882e-02,9.184802068790539620e-01,8.524100852139425699e-01,6.878698378115873924e-01
7.763649426909752238e-01,7.956168369697399489e-01,1.110166797329842359e-01,7.495456059162973750e-01
5.217807701270130716e-01,9.611446723809502490e-02,9.708111217621794298e-01,8.625312461026480859e-01
2.434781395942330340e-01,7.034910625439516618e-02,1.341311206434228076e-01,9.599931339546793341e-01
7.480028274902273955e-01,6.546960587086736449e-02,2.665966228908632774e-01,2.257971471338818814e-01
